voting_session_id,session_date,legislatura,total_deputies,not_found_orientation,PP_orientation,PL_orientation,PCdoB_orientation,PDT_orientation,PT_orientation,PSD_orientation,REPUBLIC_orientation,PSOL_orientation,UNIÃO_orientation,PSDB_orientation,MDB_orientation,PODE_orientation,yes_deputies,no_deputies,other_deputies,yes_orientation_percentage,no_orientation_percentage,other_orientation_percentage,CIDADANIA_orientation,PSB_orientation,SOLIDARI_orientation,AVANTE_orientation,PRD_orientation,PV_orientation,NOVO_orientation,REDE_orientation,S.PART._orientation
45573-62,2003-07-22,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
98268-3,2003-07-22,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
98268-7,2003-07-23,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
34347-102,2003-07-23,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
27583-108,2003-07-23,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
34347-119,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19706-35,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
45573-78,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
125572-23,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
98268-11,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
34347-116,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
125632-11,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
125633-9,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
126336-5,2003-07-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
125572-29,2003-07-31,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
125572-36,2003-07-31,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
122846-47,2003-08-19,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
126128-43,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
105528-46,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
133799-6,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
131885-6,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
133590-6,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
105528-44,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
126128-40,2003-09-17,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
133771-10,2003-09-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
134498-6,2003-09-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
134500-6,2003-09-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
134501-6,2003-09-24,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
42827-47,2003-09-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
42827-45,2003-09-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19576-59,2003-09-30,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
124899-85,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
131166-62,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19576-84,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
124899-83,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
135701-9,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
124899-72,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
19576-83,2003-10-01,52,709,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,709,0.0,0.0,100.0,other,other,other,other,other,other,other,other,other
